,count,mean,std,min,25%,50%,75%,max,median,variance,skewness,kurtosis
GHI,266753.0,476.74648907416224,320.5785408548967,0.0,176.9,474.2,771.9,1413.0,474.2,102770.60085665468,0.04779704962848229,-1.3183600033613911
DNI,249613.0,352.57556657706135,280.6572840972158,0.0,54.1,345.7,602.9,952.3,345.7,78768.51111682529,0.16882263185114096,-1.3436337821282398
DHI,266418.0,230.8084979243144,150.48775168453906,0.0,117.9,213.4,324.2,759.2,213.4,22646.563407067493,0.5247925768613421,-0.32957648738100165
ModA,525600.0,236.5894961948249,326.89485851507413,0.0,0.0,4.5,463.7,1342.3,4.5,106860.24852359034,1.0674162676270473,-0.3876741814711777
ModB,525600.0,228.883575913242,316.53651537980164,0.0,0.0,4.3,447.9,1342.3,4.3,100195.36556878741,1.076031139024883,-0.3513320771849915
Tamb,525600.0,28.179682838660575,5.924296981332788,11.0,24.2,28.0,32.3,43.8,28.0,35.09729472302879,0.0005116827073862378,-0.4446243287737546
RH,525600.0,54.4879691780822,28.073068781205844,2.1,28.8,55.1,80.1,100.0,55.1,788.0971907943142,-0.026652772519024953,-1.2985546844763103
WS,525600.0,2.121112823439878,1.6034658845357102,0.0,1.0,1.9,3.1,19.5,1.9,2.5711028428698874,0.8684060288394488,1.5790081026334857
WSgust,525600.0,2.8091948249619483,2.029119651774774,0.0,1.3,2.6,4.1,26.6,2.6,4.117326561218579,0.9289081426915101,1.942468223969339
WSstdev,525600.0,0.4733896499238964,0.2733946213736333,0.0,0.4,0.5,0.6,4.2,0.5,0.0747446189960323,0.6954491881602993,3.348514353703788
WD,525600.0,153.43517199391172,102.33284204706163,0.0,59.0,181.0,235.1,360.0,181.0,10472.010561428866,-0.0849739183564297,-1.2558988376370364
WDstdev,525600.0,8.582406582952814,6.385864053158973,0.0,3.7,8.6,12.3,99.4,8.6,40.77925970542795,1.0700809489259921,4.6543921236337065
BP,525600.0,994.197199391172,2.474993197988568,985.0,993.0,994.0,996.0,1003.0,994.0,6.125591330089681,-0.26399510053407194,-0.06390207307762052
Cleaning,525600.0,0.0009227549467275495,0.030362892221282408,0.0,0.0,0.0,0.0,1.0,0.0,0.0009219052240412117,32.8742822323726,1078.7225370217434
Precipitation,525600.0,0.001904870624048706,0.03711520540633969,0.0,0.0,0.0,0.0,2.5,0.0,0.0013775384723547868,34.62044540765274,1518.289299750757
TModA,525600.0,35.2460256849315,14.807257528633412,9.0,24.2,30.0,46.9,81.0,30.0,219.25487551927088,0.6774424747686674,-0.5810543111088022
TModB,525600.0,32.47173554033485,12.348743384105228,8.1,23.6,28.9,41.5,72.5,28.9,152.49146316648265,0.6168220341269083,-0.44310138397329046
Comments,0.0,,,,,,,,,,,
