,count,mean,std,min,25%,50%,75%,max,median,variance,skewness,kurtosis
GHI,268215.0,454.08121767984636,319.09601012839573,0.0,156.5,430.3,743.9,1424.0,430.3,101822.26367986124,0.1692411756453934,-1.2512647872121063
DNI,525600.0,151.25846898782348,250.9569616573671,0.0,0.0,0.0,246.4,1004.5,0.0,62979.39660429721,1.459862584527836,0.7070862133491569
DHI,525600.0,116.44435235920854,156.52071366117195,0.0,0.0,2.5,215.7,805.7,2.5,24498.73380500258,1.198758403514028,0.4136563411548462
ModA,525600.0,226.14437461948242,317.3469382524454,0.0,0.0,4.4,422.525,1380.0,4.4,100709.0792182014,1.1443371883908076,-0.14914822309627462
ModB,525600.0,219.56858808980218,307.9325104175355,0.0,0.0,4.3,411.0,1367.0,4.3,94822.43097204564,1.1451551937371796,-0.1380508559171676
Tamb,525600.0,27.75178805175039,4.758022740618851,14.9,24.2,27.2,31.1,41.4,27.2,22.638780400246127,0.300705772676862,-0.43704405223256293
RH,525600.0,55.01315981735161,28.778732322296694,3.3,26.5,59.3,80.8,99.8,59.3,828.2154340784045,-0.15296935121290883,-1.3675444991511192
WS,525600.0,2.3680934170471843,1.462667670344068,0.0,1.4,2.2,3.2,16.1,2.2,2.139396713869743,0.6908702951258505,1.1992905865783756
WSgust,525600.0,3.2294895357686455,1.882564525208805,0.0,1.9,2.9,4.4,23.1,2.9,3.5440491915746537,0.8047127148075873,1.7152509280457044
WSstdev,525600.0,0.5577395357686454,0.268923061732855,0.0,0.4,0.5,0.7,4.7,0.5,0.07231961313177294,0.896689570099542,4.213052473048268
WD,525600.0,161.74184531963462,91.87721656228369,0.0,74.8,199.1,233.5,360.0,199.1,8441.422923232778,-0.22485519756339278,-1.2261229832741456
WDstdev,525600.0,10.559568493150685,5.915489536764592,0.0,6.9,10.8,14.1,86.9,10.8,34.993016459571365,0.5356273883239218,2.721223460376323
BP,525600.0,975.9152416286149,2.153977480335337,968.0,975.0,976.0,977.0,983.0,976.0,4.639618985791768,-0.2863922575512953,-0.08423408273316202
Cleaning,525600.0,0.0005346270928462709,0.023115844854792233,0.0,0.0,0.0,0.0,1.0,0.0,0.0005343422833508246,43.2142780508417,1865.4809259368994
Precipitation,525600.0,0.001382039573820396,0.02635003158140825,0.0,0.0,0.0,0.0,2.3,0.0,0.0006943241643412123,33.37626685174319,1450.7115603634281
TModA,525600.0,32.44440296803653,10.99833354593578,13.1,23.9,28.4,40.6,70.4,28.4,120.96334078765634,0.8172555526662365,-0.39220517264257326
TModB,525600.0,33.54332971841705,12.76927711913104,13.1,23.6,28.4,43.0,94.6,28.4,163.05443814516352,0.8878813626897061,-0.25439598184572665
Comments,0.0,,,,,,,,,,,
